,BayesRisk,p1_fb,p2_fb
0,0.9655,26.0,29.0
1,0.967,31.0,33.0
2,0.9775,83.0,16.0
3,0.9695,37.0,7.0
4,0.975,57.0,12.0
5,0.9675,29.0,16.0
6,0.863,1.0,47.0
7,0.9645,19.0,78.0
8,0.957,13.0,28.0
9,0.9675,51.0,35.0
10,0.0,0.0,53.0
11,0.0,0.0,54.0
12,0.8635,1.0,54.0
13,0.867,1.0,58.0
14,0.976,66.0,28.0
15,0.954,14.0,63.0
16,0.926,4.0,74.0
17,0.931,4.0,50.0
18,0.947,7.0,15.0
19,0.0,0.0,50.0
20,0.966,36.0,47.0
21,0.9795,74.0,4.0
22,0.924,3.0,96.0
23,0.947,8.0,0.0
24,0.9605,17.0,44.0
25,0.974,95.0,5.0
26,0.0,0.0,54.0
27,0.97,43.0,23.0
28,0.9685,35.0,64.0
29,0.966,23.0,3.0
30,0.972,49.0,0.0
31,0.0,0.0,50.0
32,0.0,0.0,32.0
33,0.0,0.0,32.0
