,Alice_a,out
0,23,383.0
1,46,406.0
2,25,385.0
3,40,400.0
4,65,425.0
5,56,416.0
6,28,388.0
7,9,369.0
8,77,437.0
9,45,405.0
10,53,413.0
11,35,395.0
12,9,369.0
13,31,391.0
14,57,417.0
15,94,454.0
16,90,450.0
17,35,395.0
18,99,459.0
19,24,384.0
20,6,366.0
21,87,447.0
22,22,382.0
23,32,392.0
24,77,437.0
25,9,369.0
26,44,404.0
27,43,403.0
28,71,431.0
29,86,446.0
30,19,379.0
31,3,363.0
32,98,458.0
33,19,379.0
34,48,408.0
35,6,366.0
36,64,424.0
37,33,393.0
38,68,428.0
39,12,372.0
40,37,397.0
41,15,375.0
42,81,441.0
43,44,404.0
44,73,433.0
45,84,444.0
46,72,432.0
47,3,363.0
48,33,393.0
49,8,368.0
50,6,366.0
51,78,438.0
52,18,378.0
53,88,448.0
54,32,392.0
55,59,419.0
56,100,460.0
57,59,419.0
58,83,443.0
59,79,439.0
60,2,362.0
61,77,437.0
62,11,371.0
63,30,390.0
64,72,432.0
65,17,377.0
66,38,398.0
67,45,405.0
68,12,372.0
69,24,384.0
70,1,361.0
71,78,438.0
72,34,394.0
73,59,419.0
74,3,363.0
75,67,427.0
76,39,399.0
77,79,439.0
78,16,376.0
79,27,387.0
80,17,377.0
81,58,418.0
82,51,411.0
83,94,454.0
84,60,420.0
85,16,376.0
86,76,436.0
87,10,370.0
88,24,384.0
89,44,404.0
90,96,456.0
91,33,393.0
92,62,422.0
93,82,442.0
94,15,375.0
95,97,457.0
96,33,393.0
97,29,389.0
98,91,451.0
99,75,435.0
100,16,376.0
101,17,377.0
102,65,425.0
103,35,395.0
104,17,377.0
105,15,375.0
106,8,368.0
107,30,390.0
108,9,369.0
109,86,446.0
110,74,434.0
111,65,425.0
112,63,423.0
113,99,459.0
114,92,452.0
115,57,417.0
116,92,452.0
117,11,371.0
118,65,425.0
119,81,441.0
120,92,452.0
121,74,434.0
122,34,394.0
123,30,390.0
124,41,401.0
125,31,391.0
126,57,417.0
127,13,373.0
128,49,409.0
129,65,425.0
130,61,421.0
131,46,406.0
132,45,405.0
133,92,452.0
134,22,382.0
135,75,435.0
136,97,457.0
137,47,407.0
138,41,401.0
139,54,414.0
140,86,446.0
141,36,396.0
142,58,418.0
143,62,422.0
144,99,459.0
145,61,421.0
146,38,398.0
147,62,422.0
148,98,458.0
149,50,410.0
150,20,380.0
151,94,454.0
152,44,404.0
153,64,424.0
154,74,434.0
155,94,454.0
156,70,430.0
157,82,442.0
