,entropy Poisson,entropy Discrete Uniform,entropy Normal,entropy Continuous Uniform
0,-5.08968183260553,-4.522617364038616,-7.807160939118708,-2.0206967690556343
1,-4.334963154312902,-4.39022511112432,-7.965378495457276,-1.5050805196704768
2,-3.700296122120999,-6.201496480117723,-7.279248746365172,-2.0874028470074935
3,-5.252506570980269,-5.667804074844712,-5.16282783418062,-2.3700484551220153
4,-5.147577626133756,-2.9992549278998015,-7.494509559123574,-4.191549314208344
5,-4.646521869239127,-6.104387859704887,-6.8771803942719245,-3.3689380962843423
6,-3.99551089668319,-5.041223950993812,-4.80597959511687,-3.172553724753408
7,-4.814993299979456,-3.5843458371136316,-7.605094428047046,-3.874620524956823
8,-5.08949239377474,-5.7508502299294895,-7.858211472206401,-2.8523901853700506
9,-4.880689829812223,-5.28226440957629,-7.9312312434610845,-2.0893360143076
10,-5.352286435793167,-6.184152366427512,-7.961200001317268,-4.008335279943168
11,-5.3067496547057145,-6.621644300855371,-8.154514172380074,-4.5297134272875645
12,-1.8769276156823513,-6.592233312878978,-8.140039473755651,-4.485471129901599
13,-5.2157658366160815,-6.621892569699159,-8.132893511602617,-4.38861321381972
14,-0.0,-5.95034016348758,-8.077148367161353,-4.594168620910768
15,-5.085446657317439,-6.607157668433033,-8.131031415078613,-4.348401372438797
16,-5.334952047549426,-1.9998613062901263,-8.144311661038651,-3.625856816057234
17,-4.609467256553633,-6.470551779695299,-8.136367456366635,-4.5524722781178655
18,-4.517027955381073,-6.62241910760851,-8.08456335527763,-4.161761120712888
19,-5.258309643129252,-6.369041779556461,-8.060738871190827,-0.6778093218688248
20,-4.885139569858085,-6.29737620290302,-7.5996135686237505,-4.393733696429083
21,-4.940470789026078,-6.607145677757153,-7.021503566386192,-4.107985631987788
22,-4.191818934628438,-6.62219618329886,-7.9937187214033525,-4.600500755715536
23,-5.355422770936857,-6.6090394976783875,-7.935681073637011,-3.613092373077599
24,-5.356700420112811,-0.9999965086751846,-8.147124556261966,-3.7341536168194924
25,-5.20272547255593,-4.997655041711756,-8.039533856310902,-4.22673763141545
26,-5.082807532533811,-6.620352045436423,-7.766206877576065,-4.422477292681565
27,-4.995575357938007,-5.640431066701522,-8.163906268748548,-0.8730510342640843
28,-4.647991115112906,-6.621832930544817,-7.906633863176465,-4.472676942859579
29,-0.0,-6.622712333551362,-8.02536670920429,-4.569135023666719
30,-3.941484949387264,0.0,-7.706533922730927,-2.9892011041536435
31,-5.264113318711411,0.0,-7.283216134837066,-3.8487398766890033
32,-5.361152696604368,0.0,-8.05761060879597,-4.302805662020892
33,-4.979261053282833,0.0,-8.124710452700866,-4.31700980112519
34,-4.327199836619726,0.0,-7.688855816158799,-3.9187802748406035
35,-5.201366219585112,0.0,-8.087082725990603,-3.9118598459992544
36,-5.228979941373012,0.0,-8.130603389442356,-4.580331017395706
37,-5.27392012851061,0.0,-6.541119184149382,-4.5081100895305815
38,-4.742290441998447,0.0,-8.117240005683142,-4.600812735490824
39,-4.705326213130046,0.0,-7.434871036843203,-3.3684356681258523
40,-0.0,0.0,-8.130797490447879,-4.013884401991013
41,-4.198148690034291,0.0,-7.885301253090458,-2.365582942353732
42,-4.393037351440273,0.0,-7.968902306480066,-3.8626654169431207
43,-5.013135140123265,0.0,-8.043874508537758,-4.217063750080458
44,-4.755214073862848,0.0,-7.107656010974373,-3.399797263494748
45,-5.287687915702696,0.0,-6.4953699868303785,-4.098242654468834
46,-5.165004409891105,0.0,-7.9423841085083025,-3.3068147265755385
47,-4.4460679157707625,0.0,-7.828042086513728,-4.47825289743327
48,-5.359509321278451,0.0,-8.112030327698442,-4.596988602311512
49,-5.212250521297577,0.0,-8.093774669505846,-4.611856530551595
50,-5.052179780890386,0.0,-8.148442491281173,-4.541819103815192
51,-4.815122338609917,0.0,-7.899523895438211,-3.677973059162489
52,-4.993310005811784,0.0,-8.140861168187872,-4.287801451652044
53,-5.3278347015947745,0.0,-8.095139219450141,-4.14602893524355
54,-5.327330687185514,0.0,-7.555161257738069,-4.426396463700722
55,-4.9307630490869405,0.0,-7.793559914769517,-4.528321857527802
56,-5.14935836773537,0.0,-8.012954986112357,-3.3543684932055866
57,-4.488281902416574,0.0,-7.395534553714264,-4.392123961904527
58,-4.531950969010453,0.0,-7.67541615631476,-3.6929268954971866
59,-4.895297187924423,0.0,-8.003536100497584,-4.620406711833549
