,MutualInfo,p1,p2
0,-0.22997664368493442,46.0,43.0
1,-0.5204560890487064,11.0,23.0
2,-1.1446399965752025,33.0,10.0
3,-0.11208125562003435,19.0,65.0
4,-2.01051629406276,14.0,4.0
5,-0.1945810465500779,51.0,47.0
6,-1.7839434533394019,59.0,5.0
7,-0.10072134743137617,18.0,70.0
8,-0.5645673708929246,49.0,22.0
9,-0.9544609202430028,41.0,13.0
10,-4.61500516164537,0.0,1.0
11,-1.9953973090268948,96.0,4.0
12,-2.0146978763818857,0.0,4.0
13,-1.4730203187515034,16.0,7.0
14,-4.614860997933073,1.0,1.0
15,-4.616253392965068,3.0,1.0
16,-4.615114383841833,6.0,1.0
17,-0.7428751663714808,83.0,17.0
18,-0.06299383327041586,0.0,99.0
19,-0.21907826121176832,1.0,46.0
20,-2.3147261037948987,7.0,3.0
21,-4.616039249357298,87.0,1.0
22,-4.614896640909221,84.0,1.0
23,-2.026302190102667,85.0,4.0
24,-4.616160756187767,80.0,1.0
25,-4.6139350607369,73.0,1.0
26,-1.615021576021939,71.0,6.0
27,-0.24562731548259897,25.0,41.0
28,-0.3866557894148386,70.0,30.0
29,-0.08443950506743647,0.0,76.0
30,-0.11090684824267516,37.0,63.0
31,-0.47836772715931364,30.0,25.0
32,-0.04843393648303618,14.0,86.0
33,-4.61471057618718,76.0,1.0
34,-4.615903548648819,23.0,1.0
35,-4.615716913271273,28.0,1.0
36,-4.615668627787674,42.0,1.0
37,-0.35987711695528013,0.0,31.0
38,-4.61525879783929,48.0,1.0
39,-4.615024515351502,45.0,1.0
40,-2.012936637488834,47.0,4.0
41,-0.13023798236273265,0.0,61.0
42,-4.615555763033218,25.0,1.0
43,-0.2599299295619426,61.0,39.0
44,-0.2970307369114584,13.0,36.0
45,-2.305734504491836,24.0,3.0
46,-4.614762345638597,34.0,1.0
47,-0.17924212732359202,15.0,51.0
48,-0.3626027631134203,40.0,31.0
49,-4.615247904998828,67.0,1.0
50,-0.1781016251547758,34.0,50.0
51,-0.09164928209235068,28.0,72.0
52,-0.5995686003214891,62.0,21.0
53,-0.660940877738672,20.0,19.0
54,-4.614772810051152,37.0,1.0
55,-0.06375300108680193,0.0,88.0
56,-0.5175522208000558,77.0,23.0
57,-4.615779745400658,54.0,1.0
58,-0.36896744211170773,54.0,31.0
59,-0.148909511000741,45.0,55.0
