,Alice_a,out
0,15,45.0
1,97,127.0
2,1,31.0
3,63,93.0
4,64,94.0
5,74,104.0
6,24,54.0
7,70,100.0
8,69,99.0
9,0,30.0
10,33,63.0
11,87,117.0
12,28,58.0
13,84,114.0
14,18,48.0
15,75,105.0
16,30,60.0
17,21,51.0
18,2,32.0
19,60,90.0
20,62,92.0
21,17,47.0
22,5,35.0
23,92,122.0
24,46,76.0
25,55,85.0
26,67,97.0
27,94,124.0
28,83,113.0
29,84,114.0
30,35,65.0
31,1,31.0
32,36,66.0
33,2,32.0
34,39,69.0
35,98,128.0
36,46,76.0
37,71,101.0
38,20,50.0
39,35,65.0
40,67,97.0
41,23,53.0
42,93,123.0
43,90,120.0
44,88,118.0
45,49,79.0
46,55,85.0
47,35,65.0
48,64,94.0
49,76,106.0
50,27,57.0
51,2,32.0
52,33,63.0
53,67,97.0
54,5,35.0
55,53,83.0
56,90,120.0
57,26,56.0
58,78,108.0
59,89,119.0
60,22,52.0
61,80,110.0
62,100,130.0
63,30,60.0
64,85,115.0
65,88,118.0
66,2,32.0
67,35,65.0
68,48,78.0
69,41,71.0
70,27,57.0
71,74,104.0
72,32,62.0
73,100,130.0
74,42,72.0
75,17,47.0
76,8,38.0
77,0,30.0
78,13,43.0
79,79,109.0
80,3,33.0
81,12,42.0
82,30,60.0
83,88,118.0
84,82,112.0
85,97,127.0
86,60,90.0
87,95,125.0
88,46,76.0
89,53,83.0
90,34,64.0
91,6,36.0
92,69,99.0
93,80,110.0
94,63,93.0
95,31,61.0
96,57,87.0
97,17,47.0
98,37,67.0
99,46,76.0
100,65,95.0
101,0,30.0
102,65,95.0
103,39,69.0
104,54,84.0
105,26,56.0
106,85,115.0
107,60,90.0
108,1,31.0
109,68,98.0
110,27,57.0
111,29,59.0
112,95,125.0
113,85,115.0
114,49,79.0
115,63,93.0
116,54,84.0
117,27,57.0
118,97,127.0
119,60,90.0
120,5,35.0
121,89,119.0
122,11,41.0
123,52,82.0
124,0,30.0
125,36,66.0
126,53,83.0
127,18,48.0
128,10,40.0
129,38,68.0
130,13,43.0
131,56,86.0
132,77,107.0
133,85,115.0
134,9,39.0
135,42,72.0
136,52,82.0
137,45,75.0
138,81,111.0
139,6,36.0
140,67,97.0
141,13,43.0
142,84,114.0
143,19,49.0
144,64,94.0
145,4,34.0
146,46,76.0
147,14,44.0
148,56,86.0
149,44,74.0
150,52,82.0
151,55,85.0
152,16,46.0
153,96,126.0
154,50,80.0
155,43,73.0
156,51,81.0
157,30,60.0
158,45,75.0
159,62,92.0
160,58,88.0
161,11,41.0
162,24,54.0
163,79,109.0
164,46,76.0
165,86,116.0
166,8,38.0
167,75,105.0
168,26,56.0
169,39,69.0
170,66,96.0
171,1,31.0
172,59,89.0
173,67,97.0
174,84,114.0
175,81,111.0
176,55,85.0
177,94,124.0
178,47,77.0
179,10,40.0
180,43,73.0
181,83,113.0
182,3,33.0
183,66,96.0
184,86,116.0
185,25,55.0
186,54,84.0
187,70,100.0
188,27,57.0
189,86,116.0
190,39,69.0
191,58,88.0
192,56,86.0
193,99,129.0
194,31,61.0
195,47,77.0
196,31,61.0
197,40,70.0
198,36,66.0
199,27,57.0
200,52,82.0
201,24,54.0
202,78,108.0
203,85,115.0
204,35,65.0
205,26,56.0
206,29,59.0
207,26,56.0
208,37,67.0
209,60,90.0
210,84,114.0
211,53,83.0
212,28,58.0
213,21,51.0
214,4,34.0
215,23,53.0
216,60,90.0
217,36,66.0
218,99,129.0
219,15,45.0
220,90,120.0
221,89,119.0
222,14,44.0
223,87,117.0
224,0,30.0
225,10,40.0
226,8,38.0
227,29,59.0
228,94,124.0
229,24,54.0
230,23,53.0
231,66,96.0
232,30,60.0
233,36,66.0
234,74,104.0
235,100,130.0
236,59,89.0
237,36,66.0
238,72,102.0
239,32,62.0
240,89,119.0
241,24,54.0
242,18,48.0
243,40,70.0
244,89,119.0
245,25,55.0
246,79,109.0
247,59,89.0
248,6,36.0
249,68,98.0
250,30,60.0
251,35,65.0
252,85,115.0
253,6,36.0
254,42,72.0
255,68,98.0
256,62,92.0
257,83,113.0
258,95,125.0
259,18,48.0
260,78,108.0
261,74,104.0
262,97,127.0
263,2,32.0
264,4,34.0
265,81,111.0
266,89,119.0
267,49,79.0
268,38,68.0
269,21,51.0
270,53,83.0
271,21,51.0
272,93,123.0
273,64,94.0
274,12,42.0
275,64,94.0
276,98,128.0
277,55,85.0
278,69,99.0
279,85,115.0
280,77,107.0
281,30,60.0
282,74,104.0
283,92,122.0
284,6,36.0
285,29,59.0
286,44,74.0
287,86,116.0
288,46,76.0
289,39,69.0
290,7,37.0
291,40,70.0
292,74,104.0
293,82,112.0
294,51,81.0
295,16,46.0
296,77,107.0
297,72,102.0
298,8,38.0
299,39,69.0
300,61,91.0
301,74,104.0
302,46,76.0
303,6,36.0
304,29,59.0
305,40,70.0
306,100,130.0
307,73,103.0
308,22,52.0
309,3,33.0
310,31,61.0
311,21,51.0
312,76,106.0
313,16,46.0
314,86,116.0
315,32,62.0
316,89,119.0
317,99,129.0
318,86,116.0
319,76,106.0
320,41,71.0
321,100,130.0
322,2,32.0
323,5,35.0
324,32,62.0
325,44,74.0
326,34,64.0
327,71,101.0
328,70,100.0
329,24,54.0
330,29,59.0
331,26,56.0
332,32,62.0
333,51,81.0
334,82,112.0
335,13,43.0
336,95,125.0
337,67,97.0
338,14,44.0
339,66,96.0
340,8,38.0
341,72,102.0
342,88,118.0
343,10,40.0
344,88,118.0
345,90,120.0
346,27,57.0
347,49,79.0
348,53,83.0
349,59,89.0
350,46,76.0
351,41,71.0
352,71,101.0
353,41,71.0
354,64,94.0
355,33,63.0
356,57,87.0
357,18,48.0
358,50,80.0
359,86,116.0
360,47,77.0
361,34,64.0
362,20,50.0
363,69,99.0
364,73,103.0
365,14,44.0
366,63,93.0
367,6,36.0
368,0,30.0
369,97,127.0
370,83,113.0
371,53,83.0
372,9,39.0
373,52,82.0
374,91,121.0
375,89,119.0
376,26,56.0
377,83,113.0
378,78,108.0
379,74,104.0
380,46,76.0
381,7,37.0
382,2,32.0
383,36,66.0
384,66,96.0
385,91,121.0
386,98,128.0
387,89,119.0
388,30,60.0
389,56,86.0
390,81,111.0
391,53,83.0
392,1,31.0
393,78,108.0
394,54,84.0
395,79,109.0
396,90,120.0
397,79,109.0
398,41,71.0
399,99,129.0
400,9,39.0
401,93,123.0
402,5,35.0
403,63,93.0
404,59,89.0
405,53,83.0
406,51,81.0
407,95,125.0
408,93,123.0
409,25,55.0
410,40,70.0
411,13,43.0
412,76,106.0
413,64,94.0
414,89,119.0
415,6,36.0
416,93,123.0
417,70,100.0
418,80,110.0
419,80,110.0
420,83,113.0
421,19,49.0
422,39,69.0
423,55,85.0
424,37,67.0
425,48,78.0
426,79,109.0
427,69,99.0
428,3,33.0
429,34,64.0
430,66,96.0
431,62,92.0
432,59,89.0
433,18,48.0
434,38,68.0
435,39,69.0
436,29,59.0
437,15,45.0
438,92,122.0
439,57,87.0
440,83,113.0
441,54,84.0
442,52,82.0
443,2,32.0
444,83,113.0
445,4,34.0
446,48,78.0
447,50,80.0
448,15,45.0
449,2,32.0
450,97,127.0
451,56,86.0
452,21,51.0
453,81,111.0
454,8,38.0
455,27,57.0
456,97,127.0
457,29,59.0
458,15,45.0
459,34,64.0
460,34,64.0
461,39,69.0
462,17,47.0
463,71,101.0
464,48,78.0
465,12,42.0
466,36,66.0
467,88,118.0
468,76,106.0
469,17,47.0
470,54,84.0
471,94,124.0
472,5,35.0
473,9,39.0
474,35,65.0
475,55,85.0
476,29,59.0
477,74,104.0
478,94,124.0
479,78,108.0
480,93,123.0
481,16,46.0
482,78,108.0
483,10,40.0
484,3,33.0
485,56,86.0
486,25,55.0
487,91,121.0
488,65,95.0
489,33,63.0
490,70,100.0
491,9,39.0
492,34,64.0
493,53,83.0
494,100,130.0
495,85,115.0
496,96,126.0
497,80,110.0
498,85,115.0
499,40,70.0
500,12,42.0
501,88,118.0
502,9,39.0
503,69,99.0
504,3,33.0
505,34,64.0
506,39,69.0
507,62,92.0
508,32,62.0
509,41,71.0
510,97,127.0
511,57,87.0
512,99,129.0
513,73,103.0
514,99,129.0
515,40,70.0
516,61,91.0
517,33,63.0
518,53,83.0
519,88,118.0
520,2,32.0
521,43,73.0
522,80,110.0
523,57,87.0
524,84,114.0
525,55,85.0
526,97,127.0
527,51,81.0
528,75,105.0
529,35,65.0
530,56,86.0
531,35,65.0
532,84,114.0
533,6,36.0
534,87,117.0
535,9,39.0
536,4,34.0
537,42,72.0
538,83,113.0
