,MeanPPM,SumPPM,medianPPM,MeanPPMDP,SumPPMDP,medianPPMDP
0,-3.471654135534282,-3.47580169,-1.0588090703078734,0.005,0.171,0.0
1,-3.472351351555379,-3.4755842,-1.0921743345718147,0.007,0.1605,0.0
2,-3.4727560372041246,-3.47524539,-1.0527526186668936,0.009,0.1625,0.0
3,-3.4721858654353075,-3.11438753,-1.0753650972162179,0.0095,0.1665,0.0
4,-0.08120391196691035,-3.47554279,-1.0543363522891696,0.0055,0.166,0.0
5,-3.477927715682133,-3.47808018,-1.095118888939436,0.009,0.165,0.0
6,-3.474175540299203,-3.47104845,-1.0724805837636557,0.007,0.1615,0.0
7,-3.4749775980166455,-3.16573064,-1.0401463475333026,0.0065,0.417,0.0
8,-3.4572776487026546,-3.47523326,-1.0520624846337343,0.0085,0.1675,0.0
9,-3.4837984840822815,-3.46948877,-1.0692663688189388,0.0095,0.1565,0.0
