,MeanPPM,SumPPM,medianPPM,MeanPPMDP,SumPPMDP,medianPPMDP
0,-2.3493756689936176,-2.347133619084194,-0.3173265986464173,0.006,0.167,0.0
1,-2.343187353947662,-2.344179455497401,-0.31428257604643495,0.008,0.1745,0.0
2,-2.3412101262795977,-2.3467431516141515,-0.29749680728276306,0.0075,0.1715,0.0
3,-2.3545805820105263,-2.342311968725273,-0.32200152358394973,0.01,0.1735,0.0
4,-2.3481539927488737,-2.344716460897747,-0.30223136433317954,0.0065,0.1685,0.0
5,-2.3545242310096492,-2.342242447162292,-0.3127906344402964,0.0065,0.168,0.0
6,-2.34102432012037,-2.3436328657490413,-0.3054508928164852,0.0125,0.1705,0.0
7,-2.341079967065988,-2.3434090157504537,-0.31724609873838716,0.009,0.17,0.001
8,-2.3443350970238304,-2.3403688642507525,-0.2987763045775429,0.011,0.169,0.0
9,-2.337681267497498,-2.3577926287196114,-0.28904394827948376,0.008,0.176,0.0
